;date;year;month;week;day_of_week;dayofyear;jackpot_size;media_cost;media_cost_adstock;media_cost_saturation_mu0.01;media_cost_saturation_mu0.02;media_cost_saturation_mu0.03;media_cost_saturation_beta_hill;beta;media_effect;effect_ratio;effect_ratio_smooth;trend;cs;cc;seasonality;intercept;trend_plus_intercept;epsilon;sales
0;2020-01-01;2020;1;1;3;1;1;3.324717037137008;3.324717;0.02493022;0.033234917;0.049829464;1.847744e-06;1.0;0.033234916627407074;0.00999631432668377;0.00994173426093168;1.1544346900318838;-0.0343745418029307;0.999852244286554;0.2896433107450869;3.0;4.154434690031884;-0.06495190007207334;54.12361017332305
1;2020-01-02;2020;1;1;4;2;1;0.2344684827607828;1.896827;0.014225237;0.018965995;0.028444739;5.9604645e-08;0.9991792627184125;0.018950428840079022;0.009990594300340893;0.009940756667580469;1.156891288157761;-0.06870845432809936;0.9994090208097176;0.27921016994448544;3.0;4.156891288157761;0.014111983913709302;54.69163870856035
2;2020-01-03;2020;1;1;5;3;1;0.34925763501569435;1.2976711;0.009732232;0.012975972;0.0194626;0.0;0.9983597595438407;0.012954688431324291;0.00998302931661381;0.009938815665061346;1.15934230309405;-0.10296115631985926;0.998670460547093;0.2687127912681701;3.0;4.15934230309405;-0.06138467510991796;53.79625107683626
3;2020-01-04;2020;1;1;6;4;1;2.423605914969734;3.0724413;0.023039246;0.030714745;0.046054028;1.1324883e-06;0.997541487778967;0.030639232126765815;0.009972275705619746;0.009935939179667909;1.161787766455749;-0.13709216251003428;0.9976367817516771;0.2581633857724928;3.0;4.161787766455749;0.004612969193797241;54.55203353548804
4;2020-01-05;2020;1;1;7;5;1;1.685226550176195;3.2214472;0.02415615;0.03220332;0.048284117;1.4901161e-06;0.9967244447342066;0.03209783665807035;0.009963794025641804;0.009932167150747642;1.1642277095723919;-0.1710611314698208;0.9963082898873659;0.2475741475252635;3.0;4.164227709572392;-0.009426849973895951;54.3447284378183
5;2020-01-06;2020;1;2;1;6;1;3.791262702386638;5.4019866;0.040492736;0.05396737;0.0808529;3.4034252e-05;0.9959086277276795;0.05374657097528028;0.009949408424216202;0.009927551309765161;1.1666621634915817;-0.20482791329167768;0.9946853775386856;0.23695723927410234;3.0;4.166662163491582;-0.0008300997289925275;54.56535874011972
6;2020-01-07;2020;1;2;2;7;1;2.7493280110929312;5.450321;0.040854648;0.054449312;0.08157317;3.6001205e-05;0.9950940340851834;0.05418218591823181;0.009941099607668532;0.009922149658993004;1.1690911589824657;-0.23835259704484588;0.9927685242947802;0.22632477817498028;3.0;4.169091158982466;-0.06370722696004834;53.8589089611563
7;2020-01-08;2020;1;2;3;8;2;7.25250091689499;9.977661;0.07469309;0.099446826;0.14855734;0.0013516545;0.9942806611401664;0.09887805558850037;0.009909943249458568;0.009916028686264535;1.1715147265391588;-0.2715955579484075;0.990558296607687;0.21568882159778385;3.0;4.171514726539159;-0.017654556705407182;64.68427047020035
8;2020-01-09;2020;1;2;4;9;2;0.253733027748799;5.2295766;0.03920172;0.05224815;0.07828314;2.8073788e-05;0.9934685062337001;0.05190689164349899;0.009925639441979418;0.009909258449922156;1.173932896384112;-0.3045175042061279;0.9880553476249434;0.20506135302564465;3.0;4.1739328963841125;-0.0014052437616104323;64.29495897291646
9;2020-01-10;2020;1;2;5;10;2;0.5080414836054028;3.121914;0.02341009;0.031208992;0.04679452;1.2516975e-06;0.9926575667144524;0.030979842062693077;0.009923349251986659;0.009901911336860579;1.1763456984714287;-0.33707952344772313;0.985260416996575;0.19445426806465552;3.0;4.176345698471429;0.008899912044213447;64.1067972064299
10;2020-01-11;2020;1;2;6;11;2;4.181793493834299;5.7413864;0.04303381;0.057350855;0.08590852;4.9173832e-05;0.9918478399386609;0.05688332196846308;0.009907593370474985;0.009894061114512959;1.178753162490131;-0.36924312872166254;0.9821743306565195;0.1838793605804571;3.0;4.178753162490131;-0.04953479967663937;63.699810453624124
11;2020-01-12;2020;1;2;7;12;2;5.712409336146256;8.573635;0.06421379;0.0855269;0.12790017;0.00054454803;0.9910393232701058;0.08476051961410495;0.009886182303358282;0.0098857816374552;1.181155317867375;-0.4009703039851435;0.978798000578555;0.17334830897802345;3.0;4.1811553178673755;0.02947143811024135;64.68735584569745
12;2020-01-13;2020;1;3;1;13;2;5.525339292597373;9.805574;0.07340953;0.09774266;0.14603207;0.0012178421;0.9902320140800839;0.0967879128891958;0.009870703007491948;0.009877143985763639;1.183552193771614;-0.4322235490374716;0.9751324245068005;0.16287266264079867;3.0;4.1835521937716145;-0.01636771607400177;64.26845053227608
13;2020-01-14;2020;1;3;2;14;2;3.9272121689457764;8.815188;0.066017754;0.08792425;0.13146256;0.0006432533;0.9894259097473813;0.0869945305209419;0.009868709152376066;0.009868220910153831;1.185943819115717;-0.46296592384373736;0.9711786856608712;0.15246382854514015;3.0;4.1859438191157174;-0.04114767391129769;63.84254504270501
14;2020-01-15;2020;1;3;3;15;3;0.28929298822144167;4.686148;0.035131644;0.04682721;0.07017668;1.4483929e-05;0.9886210076582472;0.04629436180668996;0.009878979528664879;0.009859080033738307;1.188330222560039;-0.4931610921964001;0.9669379524157752;0.14213305806581253;3.0;4.1883302225600385;0.007522918037979405;73.8428056047052
15;2020-01-16;2020;1;3;4;16;3;0.5386944606656517;2.8534384;0.021397507;0.028526641;0.042775463;7.1525574e-07;0.9878173052063689;0.0281791100624602;0.009875492768948571;0.00984979072998727;1.1907114325154402;-0.5227733646631728;0.9624114779566447;0.13189143398804157;3.0;4.190711432515441;0.025162687924859546;73.75944664490801
16;2020-01-17;2020;1;3;5;17;3;7.400034240857346;8.825764;0.0660967;0.08802919;0.1316184;0.0006479025;0.9870147997928433;0.0868861142300578;0.009844600100329429;0.009840418632437974;1.1930874771462672;-0.5517677407704459;0.957600599908406;0.12174985774138802;3.0;4.193087477146268;0.027417754480930277;74.29141203598644
17;2020-01-18;2020;1;3;6;18;3;10.37896574059727;14.789862;0.11047124;0.14682959;0.21827863;0.0141536;0.9862134888261527;0.14480532241541516;0.00979085035124214;0.009831026736338646;1.195458384373279;-0.5801099503723901;0.9525067399404956;0.11171903687043165;3.0;4.1954583843732784;-0.0025162873063343688;74.49466456352792
18;2020-01-19;2020;1;3;7;19;3;0.07839199892718873;7.456988;0.05586915;0.07443197;0.11139066;0.00023585558;0.9854133697221378;0.07334625907784277;0.009835909683149034;0.009821678948482312;1.1978241818765403;-0.6077664941568425;0.9471314033467411;0.10180947275696957;3.0;4.19782418187654;-0.00046074633204111595;73.72519167379312
19;2020-01-20;2020;1;4;1;20;3;6.647775612588018;10.353956;0.077498965;0.10317115;0.15407251;0.0016872287;0.9846144399039723;0.10158380151750852;0.00981110981485736;0.009812432959671338;1.2001848970982607;-0.6347046832400998;0.9414761786005293;0.09203144860812887;3.0;4.200184897098261;-0.01218414587564837;73.8161600134825
20;2020-01-21;2020;1;4;2;21;3;0.3822218835240797;5.5376163;0.04150826;0.055319626;0.082873724;3.9577484e-05;0.9838166968021376;0.05442437160581665;0.009828122628996412;0.009803340945176939;1.202540557245598;-0.6608926778038178;0.9355427368853945;0.08239501772447301;3.0;4.202540557245598;-0.014090050054063052;73.25269896521824
21;2020-01-22;2020;1;4;3;22;4;8.803146869750234;11.556615;0.08645822;0.1150544;0.17163347;0.0032571554;0.9830201378543959;0.11310079094465414;0.009786671283954926;0.009794447403917998;1.2048911892934178;-0.6862995247283515;0.9293328316011642;0.0729099920618438;3.0;4.204891189293418;-0.00048523202321404494;83.90416740276703
22;2020-01-23;2020;1;4;4;23;4;1.2472003950694344;7.0243773;0.052634135;0.070128456;0.10497747;0.00016474724;0.9822247605057659;0.06888190566163385;0.009806122630994146;0.00978579069249165;1.2072368199870116;-0.7108951941780551;0.9228482978458097;0.06358593110032636;3.0;4.207236819987012;-0.024747426861392915;83.1495722988758
